#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
198,Matt Caggiano,,,,2FGM,Make 2 Pts,00:00:09.5,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,3:14,Matt Caggiano,Handoff,5 Matt Caggiano > Hand Off > From Stationary > Left > Dribble Jumper > Short to < 17' > Make 2 Pts
199,Jaylen Savage,,,,2FGM,Make 2 Pts,00:00:26.6,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,2:37,Jaylen Savage,P&R BH,12 Jaylen Savage > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
200,Matt Caggiano,,,,2FGM,Make 2 Pts,00:00:17.5,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,2:14,Matt Caggiano,P&R BH,5 Matt Caggiano > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
201,Luke Insley,,,,2FGm,Miss 2 Pts,00:00:19.7,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,1:57,Luke Insley,Iso,14 Luke Insley > ISO > Top > Drives Left > To Basket > Miss 2 Pts
202,Jaylen Savage,,,,"2FGM, Off Reb, Foul",1 Pts,00:00:08.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,1:57,"Jaylen Savage, Luke Granto",Off Reb,12 Jaylen Savage > Offensive Rebound > Long > Scoring Attempt > At Basket > Make 2 Pts Foul > 1 Pts
203,Jaylen Savage,,,,FTM,Free Throw,00:00:04.2,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,,Jaylen Savage,,12 Jaylen Savage > Non Possession > Free Throw
204,Kenny Wilburn,,,,Turnover,Turnover,00:00:16.6,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,1:42,Kenny Wilburn,,3 Kenny Wilburn > No Play Type > Turnover
205,Will Burnett,,,,"Turnover, Steal",Turnover,00:00:09.3,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,1:27,"Will Burnett, Mark Osime",,11 Will Burnett > No Play Type > Turnover
206,Kenny Wilburn,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:10.3,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,1:22,"Kenny Wilburn, Jaylen Savage",Transition,3 Kenny Wilburn > Transition > First Middle > To Basket > Miss 2 Pts
207,Jaylen Savage,,,,2FGm,Miss 2 Pts,00:00:16.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,0:54,Jaylen Savage,P&R BH,12 Jaylen Savage > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
208,Liam Hopwood,,,,Off Reb,Run Offense,00:00:06.9,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,,Liam Hopwood,Off Reb,25 Liam Hopwood > Offensive Rebound > Long > Run Offense
209,Jaylen Savage,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:25.7,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,0:33,"Kenny Wilburn, Jaylen Savage, Matt Caggiano",P&R BH,12 Jaylen Savage > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
210,Brody Brown,,,,3FGm,Miss 3 Pts,00:00:14.1,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,0:24,Brody Brown,Transition,12 Brody Brown > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
211,Kenny Wilburn,,,,"Off Reb, Foul",Run Offense,00:00:07.5,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,,"Kenny Wilburn, Liam Hopwood",Off Reb,3 Kenny Wilburn > Offensive Rebound > Short > Run Offense
212,Matt Caggiano,,,,2FGM,Make 2 Pts,00:00:09.1,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,0:24,Matt Caggiano,Spot Up,5 Matt Caggiano > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts
213,Tyler Putney,,,,,Out of Bound Timeout,00:00:05.1,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,,Tyler Putney,,5 Tyler Putney > Non Possession > Out of Bound Timeout
214,Jaylen Savage,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,2,0:06,"Jaylen Savage, Zac Ditzel",Iso,12 Jaylen Savage > ISO > Left > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
215,Luke Granto,,,,,Miss 3 Pts,00:00:10.0,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,2,0:01,Luke Granto,,2 Luke Granto > Transition > Leak Outs > Dribble Jumper > Long/3pt > Miss 3 Pts
216,Luke Granto,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.8,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,4:45,"Liam Hopwood, Luke Granto","P&R BH, Cut",5 Matt Caggiano > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 2 Luke Granto > Cut > Basket > Miss 2 Pts
217,Jaylen Savage,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:17.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,4:27,"Jaylen Savage, Kenny Wilburn",Iso,12 Jaylen Savage > ISO > Top > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
218,Kenny Wilburn,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:19.7,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,4:08,"Kenny Wilburn, Tyler Putney",Post Up,3 Kenny Wilburn > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
219,Luke Insley,,,,2FGM,Make 2 Pts,00:00:14.6,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,3:56,Luke Insley,,14 Luke Insley > No Play Type > To Basket > Make 2 Pts
220,Chase Dickens,,,,"Turnover, Steal",Turnover,00:00:22.1,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,3:37,"Chase Dickens, Liam Hopwood",Spot Up,11 Chase Dickens > Spot-Up > Drives Left > Turnover
221,Luke Insley,,,,Foul,Foul,00:00:08.4,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,3:27,"Mark Osime, Luke Insley",Transition,14 Luke Insley > Transition > Ballhandler > Foul
222,Luke Insley,,,,FTM,Free Throw,00:00:04.8,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Luke Insley,,14 Luke Insley > Non Possession > Free Throw
