#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
133,Jake Walsh,,,,FTM,Free Throw,00:00:05.4,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,Jake Walsh,,10 Jake Walsh > Non Possession > Free Throw
134,Santiago Ariza,,,,"3FGm, Block, Blocked Attempt",Miss 3 Pts,00:00:20.2,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,14:32,"Santiago Ariza, Alexei Downie","P&R BH, Spot Up",1 Aamyr Sullivan > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Santiago Ariza > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
135,Jamir Harvey,,,,Off Reb,Run Offense,00:00:08.0,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Jamir Harvey,Off Reb,23 Jamir Harvey > Offensive Rebound > Short > Run Offense
136,Tate Pike,,,,,No Violation,00:00:12.0,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Tate Pike,,2 Tate Pike > Non Possession > No Violation
137,Tate Pike,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:15.6,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,14:21,"Aidan Roy, Tate Pike",Off Screen,2 Tate Pike > Off Screen > To Shooter's Left > Straight > Dribble Jumper > Long/3pt > Miss 3 Pts
138,Hakeem Daphnis,,,,3FGM,Make 3 Pts,00:00:26.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,14:01,Hakeem Daphnis,P&R BH,23 Hakeem Daphnis > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
139,Russell Rau,,,,2FGm,Miss 2 Pts,00:00:10.7,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,13:44,Russell Rau,Spot Up,20 Russell Rau > Spot-Up > Drives Straight > To Basket > Miss 2 Pts
140,Tate Pike,,,,Off Reb,Run Offense,00:00:05.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Tate Pike,Off Reb,2 Tate Pike > Offensive Rebound > Long > Run Offense
141,Aamyr Sullivan,,,,2FGM,Make 2 Pts,00:00:17.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,13:31,Aamyr Sullivan,P&R BH,1 Aamyr Sullivan > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
142,Hakeem Daphnis,,,,2FGM,Make 2 Pts,00:00:21.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,13:07,Hakeem Daphnis,"Post Up, Spot Up",4 Alexei Downie > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 23 Hakeem Daphnis > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
143,Jamir Harvey,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:13.3,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,12:50,"Jamir Harvey, Alexei Downie, Jack LaGarde",Spot Up,23 Jamir Harvey > Spot-Up > Drives Right > To Basket > Miss 2 Pts
144,Alexei Downie,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:22.9,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,12:33,"Alexei Downie, Jamir Harvey","P&R BH, Spot Up",15 Aidan Roy > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 4 Alexei Downie > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
145,Jamir Harvey,,,,2FGm,Miss 2 Pts,00:00:20.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,12:17,Jamir Harvey,Cut,23 Jamir Harvey > Cut > Flash > Miss 2 Pts
146,Jamir Harvey,,,,"Off Reb, Foul",Foul,00:00:11.0,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,12:17,"Jamir Harvey, Jack LaGarde",Off Reb,23 Jamir Harvey > Offensive Rebound > Long > Scoring Attempt > At Basket > Foul
147,Jamir Harvey,,,,FTM,Free Throw,00:00:04.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Jamir Harvey,,23 Jamir Harvey > Non Possession > Free Throw
148,Jamir Harvey,,,,FTM,Free Throw,00:00:04.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Jamir Harvey,,23 Jamir Harvey > Non Possession > Free Throw
149,Charlie Fantom,,,,"2FGM, Assist",Make 2 Pts,00:00:12.1,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,11:55,"Charlie Fantom, Aidan Roy",Off Screen,5 Charlie Fantom > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Medium/17' to <3p > Make 2 Pts
150,Marcus Watts Jr,,,,Foul,Non Shooting Foul,00:00:09.2,,,,REG@SKD,11/11/2024,1,,Charlie Fantom,,9 Marcus Watts Jr > Non Possession > Non Shooting Foul
151,Rob Elliott,,,,"Turnover, Steal",Turnover,00:00:07.8,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,11:40,"Charlie Fantom, Rob Elliott",,11 Rob Elliott > No Play Type > Turnover
152,Charlie Fantom,,,,2FGM,Make 2 Pts,00:00:08.9,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,11:37,Charlie Fantom,Transition,5 Charlie Fantom > Transition > Ballhandler > To Basket > Make 2 Pts
153,Russell Rau,,,,"Turnover, Steal",Turnover,00:00:15.5,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,11:15,"Russell Rau, Alexei Downie",Iso,20 Russell Rau > ISO > Top > Drives Left > Defense Commits > Turnover
154,Aidan Roy,,,,"Turnover, Steal",Turnover,00:00:14.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,11:02,"Aidan Roy, Marcus Watts Jr",P&R BH,15 Aidan Roy > P&R Ball Handler > High P&R > Go Away from Pick > Turnover
155,Dan Grasso,,,,,No Violation,00:00:06.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Dan Grasso,,0 Dan Grasso > Non Possession > No Violation
156,Tyrone Chinn,,,,Foul,Foul,00:00:10.6,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,10:50,"Charlie Fantom, Tyrone Chinn",P&R BH,8 Tyrone Chinn > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul
157,Tyrone Chinn,,,,FTM,Free Throw,00:00:05.5,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Tyrone Chinn,,8 Tyrone Chinn > Non Possession > Free Throw
158,Tyrone Chinn,,,,FTM,Free Throw,00:00:05.6,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Tyrone Chinn,,8 Tyrone Chinn > Non Possession > Free Throw
159,Hakeem Daphnis,,,,2FGM,Make 2 Pts,00:00:13.9,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,10:31,Hakeem Daphnis,"P&R BH, Spot Up",15 Aidan Roy > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Hakeem Daphnis > Spot-Up > Drives Right > To Basket > Make 2 Pts
160,Marcus Watts Jr,,,,Turnover,Turnover,00:00:17.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,10:09,Marcus Watts Jr,Off Screen,9 Marcus Watts Jr > Off Screen > To Shooter's Left > Curl > Turnover
161,Hakeem Daphnis,,,,3FGm,Miss 3 Pts,00:00:22.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,9:48,Hakeem Daphnis,P&R BH,23 Hakeem Daphnis > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
162,Tate Pike,,,,Foul,Foul,00:00:14.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,9:30,"Alexei Downie, Tate Pike",Cut,2 Tate Pike > Cut > Basket > Foul
163,Tate Pike,,,,FTM,Free Throw,00:00:05.5,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Tate Pike,,2 Tate Pike > Non Possession > Free Throw
164,Tate Pike,,,,FTM,Free Throw,00:00:05.4,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Tate Pike,,2 Tate Pike > Non Possession > Free Throw
165,Hakeem Daphnis,,,,Foul,Non Shooting Foul,00:00:14.3,,,,REG@SKD,11/11/2024,1,,Dan Grasso,,23 Hakeem Daphnis > Non Possession > Non Shooting Foul
