Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RIT,SKD,Rochester Institute of Technology Tigers,Foul,Dribble Jumper,Mark Osime,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,174,4.0,2024
RIT,SKD,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,179,4.0,2024
RIT,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Joey Skoric,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,181,1.0,2024
RIT,SKD,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Post,Right,N/A,Brock Bowen,Cuts,N/A,Basket,Liberty League,Liberty League,182,1.0,2024
RIT,SKD,Skidmore Thoroughbreds,2pmi,Dribble Jumper,Nick Padilla,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,183,2.0,2024
RIT,SKD,Rochester Institute of Technology Tigers,Turnover,N/A,Mark Osime,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,184,1.0,2024
RIT,SKD,Skidmore Thoroughbreds,2pmi,To Basket,Jake Walsh,PNR,High,Off,Hakeem Daphnis,Spot Ups,Right,Drive,Liberty League,Liberty League,185,1.0,2024
RIT,SKD,Skidmore Thoroughbreds,Foul,To Basket,Joey Skoric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,186,1.0,2024
RIT,SKD,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Matt Caggiano,PNR,High,Off,Brock Bowen,Spot Ups,Left,Drive,Liberty League,Liberty League,189,4.0,2024
RIT,SKD,Skidmore Thoroughbreds,Turnover,N/A,Hakeem Daphnis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,190,1.0,2024
RIT,SKD,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,192,1.0,2024
RIT,SKD,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,193,1.0,2024
