PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Keegan Ocorr,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Jaylen Savage,Logan Blankenberg,Nazareth College Golden Flyers,1,0,0,,0,0,,0,0,,,0,1
Matt Caggiano,Nolan Smih,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Nick Padilla,Ian Bentley,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,1,0
Matt Lettko,Jack Foley,St. John Fisher Cardinals,1,0,0,,0,0,,0,0,,,0,1
Keegan Ocorr,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brody Brown,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brody Brown,Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Ben Reding,Cody Schneider,Alfred State Pioneers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brock Bowen,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Nick Padilla,Joey Skoric,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0,0
