PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Josiah Turner,Rochester Institute of Technology Tigers,3,0,0,,1,0,0.0,0,0,,0.0,0,2
Luke Insley,Jordan Haggard,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Kenny Wilburn,Chase Dickens,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Sam Pisanelli,Jean Marc Togodgue,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Evan Cabral,Noah Downing,Ithaca College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Bruce Brewer Jr,Blessed Mbogo,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Dyland Matchett,Pat White,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Matt Caggiano,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Keegan Ocorr,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Mark Osime,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tanner Tedesco,Christian Dufort,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,0,1
