PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Kenny Wilburn,Rochester Institute of Technology Tigers,3,0,0,,2,1,50.0,0,0,,50.0,1,0
Brock Bowen,Zac Ditzel,Rochester Institute of Technology Tigers,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Pat Healy,Carter Meshanic,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Aidan Rodgers,Hunter Meshanic,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Jack Broderick,Logan Blankenberg,Nazareth College Golden Flyers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Solomon Mcfarlane,Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Trey Syroka,Adam Dudzinski,St. Lawrence Saints,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Matthew Garside,Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Chase Dickens,Matt Caggiano,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Matt Caggiano,Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Matt Caggiano,Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Chase Dickens,Brandon Weiss,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brock Bowen,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Kevin Le,Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Ryan Lucey,Isaiah Washington,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
