PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Tanner Tedesco,Christian Dufort,Union (NY) Dutchmen,2,0,0,,0,0,,0,0,,,1,1
Luke Adams,Shea Fitzgerald,Vassar Brewers,2,0,0,,2,1,50.0,1,0,0.0,50.0,0,0
Luke Insley,Jaylen Savage,Nazareth College Golden Flyers,1,0,0,,0,0,,0,0,,,1,0
Jonny Angbazo,Avery Eugster,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Mark Osime,Brock Bowen,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,0,1
Matt Caggiano,Chase Dickens,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Lemar Fulmore Jr,Connor Cepiel,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
Brock Bowen,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brock Bowen,Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Aidan Rodgers,Pat Healy,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Aidan Rodgers,Isaiah Washington,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Nick Padilla,Prince Shyllon,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Connor Cepiel,Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
JP Miranda,Nathan Denham,Vassar Brewers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Matt Caggiano,Brock Bowen,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Brody Brown,Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Brock Bowen,Chase Dickens,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tanner Tedesco,Luke Mcgarrity,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Matt Caggiano,Mark Osime,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,0,1
