Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Brock Bowen,Rochester Institute of Technology Tigers,23,14,7,50.0,7,2,28.5714,1,1,100.0,59.52381,2,0
Matt Caggiano,Rochester Institute of Technology Tigers,16,1,1,100.0,11,5,45.4545,2,1,50.0,54.16667,3,1
Chase Dickens,Rochester Institute of Technology Tigers,14,10,7,70.0,2,0,0.0,0,0,,87.5,2,0
Mark Osime,Rochester Institute of Technology Tigers,9,2,1,50.0,3,1,33.3333,0,0,,50.0,2,2
Brody Brown,Rochester Institute of Technology Tigers,8,5,3,60.0,3,1,33.3333,0,0,,68.75,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,7,5,1,20.0,1,1,100.0,0,0,,41.66667,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,6,3,0,0.0,2,1,50.0,0,0,,20.0,1,0
Josiah Turner,Rochester Institute of Technology Tigers,4,0,0,,2,2,100.0,0,0,,100.0,1,1
Riley Spencer,Elmira,3,0,0,,3,1,33.3333,2,0,0.0,33.33333,0,0
Aiden Macaulay,St. Lawrence Saints,3,3,0,0.0,0,0,,0,0,,0.0,0,0
Jackson Otis,Rochester Institute of Technology Tigers,3,1,1,100.0,2,1,50.0,0,0,,83.33333,0,0
Triston Wennersten,Ithaca College,3,1,1,100.0,1,0,0.0,0,0,,75.0,0,1
JP Miranda,Vassar Brewers,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Cole Wissink,Ithaca College,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Luke Mcgarrity,Union (NY) Dutchmen,2,2,2,100.0,0,0,,0,0,,150.0,0,0
Kenny Wilburn,Rochester Institute of Technology Tigers,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Connor Cepiel,Union (NY) Dutchmen,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Evan Cabral,Ithaca College,2,1,0,0.0,1,1,100.0,0,0,,50.0,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,2,0,0,,2,2,100.0,0,0,,100.0,0,0
Heston Tucker,Bard College,2,1,0,0.0,1,1,100.0,0,0,,50.0,0,0
Braeden Burns,Clarkson University Golden Knights,2,1,1,100.0,1,0,0.0,0,0,,75.0,0,0
Luke Granto,Rochester Institute of Technology Tigers,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Andrew Deppe,Rensselaer Polytechnic,2,1,1,100.0,1,1,100.0,0,0,,125.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0,0
Joey Skoric,Skidmore Thoroughbreds,2,1,0,0.0,1,1,100.0,0,0,,50.0,0,0
Brendan McRoy,St. John Fisher Cardinals,2,0,0,,2,2,100.0,0,0,,100.0,0,0
Elliot Harris,Bard College,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Daniel Cook,St. John Fisher Cardinals,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Jack Foley,St. John Fisher Cardinals,2,1,1,100.0,1,0,0.0,0,0,,75.0,0,0
