index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
0,HOB,SJC,Hobart College Statesmen,Turnover,N/A,Alex Moesch,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,1,1.0,2024-11-13
1,HOB,SJC,St. John Fisher Cardinals,2pMa,To Basket,Maxwell Schneider,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,2,1.0,2024-11-13
3,HOB,SJC,Hobart College Statesmen,2pmi,Dribble Jumper,Aidan Rodgers,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,4,3.0,2024-11-13
4,HOB,SJC,St. John Fisher Cardinals,Turnover,N/A,Maxwell Schneider,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,5,1.0,2024-11-13
5,HOB,SJC,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,6,1.0,2024-11-13
6,HOB,SJC,Hobart College Statesmen,2pMa,To Basket,Dorian Paki,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,7,1.0,2024-11-13
7,HOB,SJC,St. John Fisher Cardinals,3pMa,No Dribble Jumper,Maxwell Schneider,PNR,Left,Off,Eric Kegler,Spot Ups,N/A,Shot,Liberty League,Empire 8,8,4.0,2024-11-13
8,HOB,SJC,Hobart College Statesmen,Turnover,N/A,Dorian Paki,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Empire 8,9,1.0,2024-11-13
9,HOB,SJC,St. John Fisher Cardinals,2pmi,Dribble Jumper,Eric Kegler,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,10,2.0,2024-11-13
10,HOB,SJC,Hobart College Statesmen,3pMa,No Dribble Jumper,Allen Mordi,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,11,4.0,2024-11-13
11,HOB,SJC,St. John Fisher Cardinals,3pmi,No Dribble Jumper,Connor Williams,Post,Left,Left Shoulder,josh Lopez,Spot Ups,N/A,Shot,Liberty League,Empire 8,12,4.0,2024-11-13
13,HOB,SJC,St. John Fisher Cardinals,3pMa,No Dribble Jumper,josh Lopez,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,14,4.0,2024-11-13
14,HOB,SJC,Hobart College Statesmen,Foul,No Dribble Jumper,Aidan Rodgers,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,15,4.0,2024-11-13
18,HOB,SJC,St. John Fisher Cardinals,2pmi,To Basket,Maxwell Schneider,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,19,1.0,2024-11-13
19,HOB,SJC,St. John Fisher Cardinals,2pmi,To Basket,josh Lopez,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,20,1.0,2024-11-13
20,HOB,SJC,St. John Fisher Cardinals,2pMa,To Basket,Connor Williams,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,21,1.0,2024-11-13
21,HOB,SJC,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Empire 8,22,1.0,2024-11-13
22,HOB,SJC,St. John Fisher Cardinals,Turnover,N/A,Andrew Violante,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,23,1.0,2024-11-13
23,HOB,SJC,Hobart College Statesmen,2pMa,To Basket,Aidan Rodgers,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,24,1.0,2024-11-13
24,HOB,SJC,St. John Fisher Cardinals,2pmi,To Basket,Andrew Violante,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,25,1.0,2024-11-13
26,HOB,SJC,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,27,1.0,2024-11-13
