index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
114,RIT,RPI,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,115,1.0,2025-01-31
115,RIT,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Dylan Matchett,PNR,Right,Off,PJ Scalisi,Spot Ups,N/A,Shot,Liberty League,Liberty League,116,4.0,2025-01-31
116,RIT,RPI,Rensselaer Polytechnic,2pMa,To Basket,Avery Eugster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,117,1.0,2025-01-31
118,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,119,3.0,2025-01-31
119,RIT,RPI,Rensselaer Polytechnic,2pMa,To Basket,Dylan Matchett,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Liberty League,Liberty League,120,1.0,2025-01-31
120,RIT,RPI,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,121,4.0,2025-01-31
121,RIT,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Chuck Clemons,PNR,Left,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,122,4.0,2025-01-31
122,RIT,RPI,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Ronnie Toole,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,123,4.0,2025-01-31
123,RIT,RPI,Rensselaer Polytechnic,Foul,To Basket,Chuck Clemons,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,124,1.0,2025-01-31
126,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,High,Off,Josiah Turner,P&R Roll Man,N/A,Roll,Liberty League,Liberty League,127,1.0,2025-01-31
127,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,128,1.0,2025-01-31
128,RIT,RPI,Rensselaer Polytechnic,Turnover,N/A,Avery Eugster,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,129,1.0,2025-01-31
129,RIT,RPI,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Off Screens,Right,Flare,N/A,N/A,N/A,N/A,Liberty League,Liberty League,130,1.0,2025-01-31
130,RIT,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Avery Eugster,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,131,4.0,2025-01-31
131,RIT,RPI,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,132,1.0,2025-01-31
132,RIT,RPI,Rensselaer Polytechnic,2pmi,Dribble Jumper,Yechiel Stewart,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,133,3.0,2025-01-31
133,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,To Basket,Josiah Turner,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,134,1.0,2025-01-31
134,RIT,RPI,Rochester Institute of Technology Tigers,Turnover,N/A,Luke Granto,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,135,1.0,2025-01-31
135,RIT,RPI,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,136,4.0,2025-01-31
137,RIT,RPI,Rensselaer Polytechnic,2pmi,To Basket,Dylan Matchett,Hand Offs,Left,Stationary,N/A,N/A,N/A,N/A,Liberty League,Liberty League,138,1.0,2025-01-31
138,RIT,RPI,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Nolan Smih,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,139,4.0,2025-01-31
140,RIT,RPI,Rensselaer Polytechnic,2pMa,To Basket,Yechiel Stewart,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,141,1.0,2025-01-31
141,RIT,RPI,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,142,1.0,2025-01-31
142,RIT,RPI,Rensselaer Polytechnic,2pmi,N/A,Dylan Matchett,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,143,1.0,2025-01-31
143,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,144,1.0,2025-01-31
145,RIT,RPI,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,146,1.0,2025-01-31
146,RIT,RPI,Rensselaer Polytechnic,2pMa,To Basket,Pat White,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,147,1.0,2025-01-31
147,RIT,RPI,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,148,1.0,2025-01-31
148,RIT,RPI,Rensselaer Polytechnic,And1,To Basket,Tucker Tharpe,Post,Middle,Dribble,N/A,N/A,N/A,N/A,Liberty League,Liberty League,149,1.0,2025-01-31
150,RIT,RPI,Rochester Institute of Technology Tigers,And1,To Basket,Matt Caggiano,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,151,1.0,2025-01-31
152,RIT,RPI,Rensselaer Polytechnic,2pMa,To Basket,Avery Eugster,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,153,1.0,2025-01-31
153,RIT,RPI,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Josiah Turner,Post,Right,Right Shoulder,Mark Osime,Spot Ups,N/A,Shot,Liberty League,Liberty League,154,4.0,2025-01-31
154,RIT,RPI,Rensselaer Polytechnic,3pmi,No Dribble Jumper,Pat White,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,155,4.0,2025-01-31
155,RIT,RPI,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,156,1.0,2025-01-31
156,RIT,RPI,Rensselaer Polytechnic,2pMa,To Basket,Andrew Deppe,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,157,1.0,2025-01-31
157,RIT,RPI,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,158,2.0,2025-01-31
158,RIT,RPI,Rochester Institute of Technology Tigers,And1,To Basket,Josiah Turner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,159,1.0,2025-01-31
160,RIT,RPI,Rensselaer Polytechnic,Turnover,N/A,Andrew Deppe,Post,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,161,1.0,2025-01-31
