Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
Bar,HAR,Bard College,2pmi,Drop Step,Laz Panagiotounis,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Empire 8,43,1.0,2025
Bar,HAR,Bard College,2pmi,To Basket,Jalen Umstead,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,44,1.0,2025
Bar,HAR,Hartwick,Foul,To Basket,Joey Mclaurin,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,45,1.0,2025
Bar,HAR,Bard College,Turnover,N/A,Ahmad Rauf,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,48,1.0,2025
Bar,HAR,Hartwick,2pMa,To Basket,Shane Micallef,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Empire 8,49,1.0,2025
Bar,HAR,Bard College,3pMa,No Dribble Jumper,Ahmad Rauf,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,51,4.0,2025
Bar,HAR,Hartwick,2pmi,To Basket,Joey Mclaurin,PNR,Right,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,52,1.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Max Frei,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,53,4.0,2025
Bar,HAR,Bard College,3pMa,No Dribble Jumper,Max Frei,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,56,4.0,2025
Bar,HAR,Hartwick,3pmi,No Dribble Jumper,Shane Micallef,PNR,Right,Off,Cosmo Hardinson,Spot Ups,N/A,Shot,Liberty League,Empire 8,57,4.0,2025
Bar,HAR,Hartwick,2pMa,Dribble Jumper,Mike Gitz,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,59,2.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Rowan Heinze,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Empire 8,60,1.0,2025
Bar,HAR,Hartwick,3pMa,No Dribble Jumper,Mike Gitz,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Liberty League,Empire 8,61,4.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Rowan Heinze,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Empire 8,62,1.0,2025
Bar,HAR,Hartwick,3pMa,No Dribble Jumper,Mike Gitz,Off Screens,Left,Flare,N/A,N/A,N/A,N/A,Liberty League,Empire 8,63,4.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Azikiwe Cuffy-Scott,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Empire 8,64,4.0,2025
Bar,HAR,Hartwick,2pmi,Dribble Jumper,Joey Mclaurin,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,65,3.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Rowan Heinze,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Empire 8,66,1.0,2025
Bar,HAR,Hartwick,3pMa,No Dribble Jumper,Joey Mclaurin,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Empire 8,67,4.0,2025
Bar,HAR,Bard College,Turnover,N/A,Rowan Heinze,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,68,1.0,2025
Bar,HAR,Hartwick,3pMa,Dribble Jumper,Joey Mclaurin,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Empire 8,69,4.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Rowan Heinze,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Empire 8,70,4.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Rowan Heinze,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,72,1.0,2025
Bar,HAR,Hartwick,3pmi,No Dribble Jumper,Joey Mclaurin,PNR,High,Off,Mike Gitz,Spot Ups,N/A,Shot,Liberty League,Empire 8,73,4.0,2025
Bar,HAR,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,PNR,High,Off,Ahmad Rauf,Spot Ups,N/A,Shot,Liberty League,Empire 8,74,4.0,2025
Bar,HAR,Hartwick,3pmi,No Dribble Jumper,Shane Micallef,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,75,4.0,2025
Bar,HAR,Bard College,2pMa,To Basket,Sean Wilcox,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Empire 8,76,1.0,2025
Bar,HAR,Hartwick,And1,To Basket,Brian Bonin,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Empire 8,77,1.0,2025
