index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
218,SGK,RIT,SUNY Geneseo Knights,2pMa,To Basket,Colin Gentile,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Empire 8,Liberty League,219,1.0,2025-01-03
219,SGK,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,220,4.0,2025-01-03
220,SGK,RIT,SUNY Geneseo Knights,3pmi,No Dribble Jumper,Colin Gentile,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,221,4.0,2025-01-03
222,SGK,RIT,SUNY Geneseo Knights,2pmi,To Basket,Sebastian Pacheco,Iso,Right,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,223,1.0,2025-01-03
224,SGK,RIT,SUNY Geneseo Knights,3pmi,No Dribble Jumper,James Burton,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,225,4.0,2025-01-03
225,SGK,RIT,,Foul,N/A,Brock Bowen,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,226,1.0,2025-01-03
230,SGK,RIT,SUNY Geneseo Knights,3pmi,No Dribble Jumper,Sebastian Pacheco,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,231,4.0,2025-01-03
231,SGK,RIT,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Chase Dickens,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Empire 8,Liberty League,232,4.0,2025-01-03
232,SGK,RIT,SUNY Geneseo Knights,3pmi,No Dribble Jumper,James Burton,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,233,4.0,2025-01-03
234,SGK,RIT,SUNY Geneseo Knights,3pmi,Dribble Jumper,Robert Perocolosi,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,235,4.0,2025-01-03
236,SGK,RIT,,Foul,N/A,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,237,1.0,2025-01-03
240,SGK,RIT,,Foul,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,241,1.0,2025-01-03
243,SGK,RIT,SUNY Geneseo Knights,3pmi,Dribble Jumper,Sebastian Pacheco,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,244,4.0,2025-01-03
244,SGK,RIT,,Foul,N/A,Kenny Wilburn,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,245,1.0,2025-01-03
247,SGK,RIT,SUNY Geneseo Knights,3pmi,Dribble Jumper,Robert Perocolosi,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,248,4.0,2025-01-03
248,SGK,RIT,SUNY Geneseo Knights,3pmi,To Basket,Sebastian Pacheco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,249,4.0,2025-01-03
249,SGK,RIT,,Foul,N/A,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,250,1.0,2025-01-03
