index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
136,SJC,UNY,St. John Fisher Cardinals,2pmi,To Basket,Eric Kegler,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,137,1.0,2024-11-26
137,SJC,UNY,Union (NY) Chargers,3pmi,No Dribble Jumper,Matthew Garside,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,138,4.0,2024-11-26
138,SJC,UNY,St. John Fisher Cardinals,2pmi,To Basket,Eric Kegler,PNR,High,Off,Cole Thompson,Spot Ups,Right,Drive,Empire 8,Liberty League,139,1.0,2024-11-26
140,SJC,UNY,St. John Fisher Cardinals,2pmi,To Basket,Eric Kegler,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,141,1.0,2024-11-26
141,SJC,UNY,Union (NY) Chargers,3pmi,No Dribble Jumper,Tanner Tedesco,PNR,Right,Off,Matthew Garside,Spot Ups,N/A,Shot,Empire 8,Liberty League,142,4.0,2024-11-26
142,SJC,UNY,St. John Fisher Cardinals,3pMa,No Dribble Jumper,Cole Thompson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,143,4.0,2024-11-26
143,SJC,UNY,Union (NY) Chargers,3pmi,Dribble Jumper,Tanner Tedesco,PNR,Right,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,144,4.0,2024-11-26
144,SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,Eric Kegler,PNR,Right,Away,N/A,N/A,N/A,N/A,Empire 8,Liberty League,145,1.0,2024-11-26
145,SJC,UNY,Union (NY) Chargers,3pmi,No Dribble Jumper,Matthew Garside,PNR,Right,Off,Brendan Reid,Spot Ups,N/A,Shot,Empire 8,Liberty League,146,4.0,2024-11-26
147,SJC,UNY,St. John Fisher Cardinals,2pmi,To Basket,Louis Fay,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Empire 8,Liberty League,148,1.0,2024-11-26
149,SJC,UNY,Union (NY) Chargers,3pMa,No Dribble Jumper,Matthew Garside,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,150,4.0,2024-11-26
150,SJC,UNY,St. John Fisher Cardinals,3pmi,No Dribble Jumper,Andrew Violante,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,151,4.0,2024-11-26
151,SJC,UNY,Union (NY) Chargers,2pMa,To Basket,Jack Plesser,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Empire 8,Liberty League,152,1.0,2024-11-26
152,SJC,UNY,St. John Fisher Cardinals,Foul,To Basket,Louis Fay,Iso,Right,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,153,1.0,2024-11-26
155,SJC,UNY,Union (NY) Chargers,2pMa,To Basket,Jack Plesser,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,156,1.0,2024-11-26
156,SJC,UNY,St. John Fisher Cardinals,2pMa,Hook Shot,Connor Williams,Post,Middle,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,157,1.0,2024-11-26
157,SJC,UNY,Union (NY) Chargers,Foul,To Basket,Tanner Tedesco,PNR,High,Off,Aren Cummings,Cuts,N/A,Flash,Empire 8,Liberty League,158,1.0,2024-11-26
160,SJC,UNY,St. John Fisher Cardinals,2pMa,Drop Step,Connor Williams,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,161,1.0,2024-11-26
161,SJC,UNY,Union (NY) Chargers,2pMa,To Basket,Matthew Garside,PNR,Left,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,162,1.0,2024-11-26
162,SJC,UNY,St. John Fisher Cardinals,And1,To Basket,Louis Fay,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,163,1.0,2024-11-26
164,SJC,UNY,Union (NY) Chargers,Foul,Hook Shot,Jack Plesser,Post,Left,Dribble,N/A,N/A,N/A,N/A,Empire 8,Liberty League,165,1.0,2024-11-26
167,SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,Cole Thompson,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Empire 8,Liberty League,168,1.0,2024-11-26
168,SJC,UNY,Union (NY) Chargers,Turnover,N/A,Matthew Garside,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,169,1.0,2024-11-26
169,SJC,UNY,St. John Fisher Cardinals,2pMa,Dribble Jumper,Cole Thompson,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Empire 8,Liberty League,170,3.0,2024-11-26
170,SJC,UNY,Union (NY) Chargers,2pmi,Drop Step,Jack Plesser,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,171,1.0,2024-11-26
172,SJC,UNY,St. John Fisher Cardinals,2pmi,To Basket,Eric Kegler,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,173,1.0,2024-11-26
173,SJC,UNY,Union (NY) Chargers,Turnover,N/A,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,174,1.0,2024-11-26
174,SJC,UNY,St. John Fisher Cardinals,And1,To Basket,josh Lopez,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Empire 8,Liberty League,175,1.0,2024-11-26
176,SJC,UNY,Union (NY) Chargers,Turnover,To Basket,Jack Plesser,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,177,1.0,2024-11-26
177,SJC,UNY,St. John Fisher Cardinals,2pmi,To Basket,josh Lopez,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Empire 8,Liberty League,178,1.0,2024-11-26
178,SJC,UNY,,Foul,N/A,Jack Plesser,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,179,1.0,2024-11-26
181,SJC,UNY,St. John Fisher Cardinals,Turnover,N/A,Cole Thompson,Spot Ups,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,182,1.0,2024-11-26
182,SJC,UNY,Union (NY) Chargers,3pmi,No Dribble Jumper,Tanner Tedesco,PNR,High,Off,Matthew Garside,Spot Ups,N/A,Shot,Empire 8,Liberty League,183,4.0,2024-11-26
183,SJC,UNY,Union (NY) Chargers,2pmi,To Basket,Jack Plesser,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,184,1.0,2024-11-26
184,SJC,UNY,Union (NY) Chargers,2pmi,To Basket,Brendan Reid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,185,1.0,2024-11-26
185,SJC,UNY,St. John Fisher Cardinals,3pmi,No Dribble Jumper,josh Lopez,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,186,4.0,2024-11-26
188,SJC,UNY,Union (NY) Chargers,Turnover,N/A,Matthew Garside,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,189,1.0,2024-11-26
189,SJC,UNY,St. John Fisher Cardinals,Foul,N/A,Eric Kegler,PNR,Left,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,190,1.0,2024-11-26
193,SJC,UNY,,Foul,N/A,Jack Plesser,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,194,1.0,2024-11-26
197,SJC,UNY,St. John Fisher Cardinals,3pmi,Dribble Jumper,Eric Kegler,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,198,4.0,2024-11-26
199,SJC,UNY,St. John Fisher Cardinals,3pMa,No Dribble Jumper,Cole Thompson,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,200,4.0,2024-11-26
200,SJC,UNY,Union (NY) Chargers,2pmi,To Basket,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,201,1.0,2024-11-26
201,SJC,UNY,Union (NY) Chargers,Turnover,N/A,Matthew Garside,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,202,1.0,2024-11-26
202,SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,Connor Williams,Post,Right,Dribble,N/A,N/A,N/A,N/A,Empire 8,Liberty League,203,1.0,2024-11-26
204,SJC,UNY,Union (NY) Chargers,Foul,To Basket,Matthew Garside,PNR,Right,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,205,1.0,2024-11-26
207,SJC,UNY,St. John Fisher Cardinals,Foul,N/A,Connor Williams,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,208,1.0,2024-11-26
210,SJC,UNY,Union (NY) Chargers,2pMa,To Basket,Jack Plesser,PNR,Right,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,211,1.0,2024-11-26
211,SJC,UNY,St. John Fisher Cardinals,3pmi,Dribble Jumper,Eric Kegler,Iso,Left,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,212,4.0,2024-11-26
