index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
193,SLS,VC,St. Lawrence Saints,2pMa,To Basket,Andrew Cowan,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,194,1.0,2025-01-10
196,SLS,VC,Vassar Brewers,Turnover,N/A,Avery Lee,Hand Offs,Left,Stationary,N/A,N/A,N/A,N/A,Liberty League,Liberty League,197,1.0,2025-01-10
197,SLS,VC,St. Lawrence Saints,3pmi,No Dribble Jumper,Trey Syroka,Iso,Right,N/A,Aiden Macaulay,Spot Ups,N/A,Shot,Liberty League,Liberty League,198,4.0,2025-01-10
199,SLS,VC,St. Lawrence Saints,3pMa,No Dribble Jumper,Trey Syroka,Iso,Top,N/A,Dan Anderson,Spot Ups,N/A,Shot,Liberty League,Liberty League,200,4.0,2025-01-10
201,SLS,VC,Vassar Brewers,2pmi,Dribble Jumper,JP Miranda,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,202,2.0,2025-01-10
202,SLS,VC,St. Lawrence Saints,2pMa,To Basket,Jack Wirtanen,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,203,1.0,2025-01-10
203,SLS,VC,Vassar Brewers,3pmi,No Dribble Jumper,Will Gregory,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,204,4.0,2025-01-10
204,SLS,VC,,Foul,N/A,Patrick Mulholland,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,205,1.0,2025-01-10
207,SLS,VC,Vassar Brewers,Turnover,N/A,Will Gregory,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,208,1.0,2025-01-10
208,SLS,VC,St. Lawrence Saints,2pmi,To Basket,Charlie Vonoehsen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,209,1.0,2025-01-10
209,SLS,VC,Vassar Brewers,3pmi,No Dribble Jumper,JP Miranda,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,210,4.0,2025-01-10
211,SLS,VC,Vassar Brewers,2pmi,To Basket,Collin France,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,212,1.0,2025-01-10
