Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
IC,SCD,SUNY Cortland Dragons,2pmi,To Basket,Jaylen Warmack,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,171,1.0,2025
IC,SCD,Ithaca College,Turnover,N/A,Logan Wendell,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,172,1.0,2025
IC,SCD,SUNY Cortland Dragons,Turnover,N/A,Kendrick Wilson,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,173,1.0,2025
IC,SCD,Ithaca College,2pMa,To Basket,Logan Wendell,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,174,1.0,2025
IC,SCD,SUNY Cortland Dragons,Turnover,N/A,Aaron Coston,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,175,1.0,2025
IC,SCD,Ithaca College,3pmi,Dribble Jumper,Logan Wendell,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,176,4.0,2025
IC,SCD,Ithaca College,3pmi,No Dribble Jumper,Evan Cabral,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,178,4.0,2025
IC,SCD,SUNY Cortland Dragons,Turnover,N/A,Aaron Coston,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,179,1.0,2025
IC,SCD,Ithaca College,Turnover,N/A,Chris Leysath,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,180,1.0,2025
IC,SCD,SUNY Cortland Dragons,2pmi,To Basket,Joel Davis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,181,1.0,2025
IC,SCD,SUNY Cortland Dragons,2pMa,To Basket,Joel Davis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,182,1.0,2025
IC,SCD,Ithaca College,Turnover,N/A,Evan Cabral,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,183,1.0,2025
IC,SCD,SUNY Cortland Dragons,Turnover,N/A,Jaylen Warmack,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,184,1.0,2025
IC,SCD,Ithaca College,2pMa,To Basket,Chris Leysath,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,185,1.0,2025
IC,SCD,SUNY Cortland Dragons,2pMa,To Basket,Joel Davis,Post,Left,Face Up,Gerrad Beaubrun,Spot Ups,Left,Drive,Liberty League,SUNYAC,186,1.0,2025
IC,SCD,Ithaca College,Turnover,N/A,Evan Cabral,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,187,1.0,2025
IC,SCD,SUNY Cortland Dragons,3pmi,No Dribble Jumper,Gerrad Beaubrun,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,188,4.0,2025
IC,SCD,SUNY Cortland Dragons,2pmi,N/A,Joel Davis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,189,2.0,2025
IC,SCD,Ithaca College,2pMa,To Basket,Evan Cabral,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,190,1.0,2025
IC,SCD,SUNY Cortland Dragons,3pmi,No Dribble Jumper,Kendall Arcuri,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,191,4.0,2025
IC,SCD,,Foul,N/A,Logan Wendell,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,192,1.0,2025
IC,SCD,SUNY Cortland Dragons,Turnover,To Basket,Aaron Coston,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,195,1.0,2025
IC,SCD,Ithaca College,2pmi,To Basket,Logan Wendell,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,196,1.0,2025
IC,SCD,Ithaca College,2pMa,To Basket,Chris Leysath,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,197,1.0,2025
IC,SCD,SUNY Cortland Dragons,Turnover,To Basket,Aaron Coston,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,198,1.0,2025
IC,SCD,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,199,4.0,2025
IC,SCD,Ithaca College,2pmi,To Basket,Laurence Brady,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,201,1.0,2025
IC,SCD,Ithaca College,2pmi,Dribble Jumper,Jaylon O'Neal,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,203,2.0,2025
IC,SCD,SUNY Cortland Dragons,2pmi,Drop Step,Aaron Coston,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,204,1.0,2025
IC,SCD,SUNY Cortland Dragons,And1,To Basket,Aaron Coston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,205,1.0,2025
IC,SCD,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,207,4.0,2025
IC,SCD,Ithaca College,Turnover,To Basket,Logan Wendell,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,209,1.0,2025
IC,SCD,SUNY Cortland Dragons,Turnover,N/A,Jaylen Warmack,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,210,1.0,2025
IC,SCD,,Foul,N/A,Logan Wendell,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,211,1.0,2025
IC,SCD,SUNY Cortland Dragons,2pmi,To Basket,Jaylen Warmack,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,215,1.0,2025
IC,SCD,SUNY Cortland Dragons,2pmi,To Basket,Joel Davis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,216,1.0,2025
IC,SCD,,Foul,N/A,Logan Wendell,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,217,1.0,2025
IC,SCD,SUNY Cortland Dragons,3pmi,No Dribble Jumper,Aaron Coston,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,220,4.0,2025
IC,SCD,SUNY Cortland Dragons,2pMa,To Basket,Gaige Armbrewster,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,222,1.0,2025
IC,SCD,,Foul,N/A,Logan Wendell,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,224,1.0,2025
IC,SCD,SUNY Cortland Dragons,2pMa,To Basket,Joel Davis,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,227,1.0,2025
IC,SCD,,Foul,N/A,Jose Padilla,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,229,1.0,2025
IC,SCD,SUNY Cortland Dragons,3pmi,Dribble Jumper,Aaron Coston,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,232,4.0,2025
IC,SCD,,Foul,N/A,Logan Wendell,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,233,1.0,2025
IC,SCD,SUNY Cortland Dragons,3pmi,Dribble Jumper,Kendall Arcuri,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,SUNYAC,236,4.0,2025
