#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
36,Laurence Brady,,,,3FGm,Miss 3 Pts,00:00:20.3,,,Ithaca College,RU@IC,11/09/2024,1,13:38,Laurence Brady,Transition,12 Laurence Brady > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
37,Aidan Holmes,,,,"Off Reb, Turnover, Steal",Turnover,00:00:08.7,,,Ithaca College,RU@IC,11/09/2024,1,13:38,"Aidan Holmes, Taz Cantey",Off Reb,3 Aidan Holmes > Offensive Rebound > Short > Turnover
38,Khalif Meares,,,,"2FGM, Foul",1 Pts,00:00:14.7,,,Rowan University,RU@IC,11/09/2024,1,13:30,"Khalif Meares, Logan Wendell",Transition,0 Khalif Meares > Transition > Ballhandler > To Basket > Make 2 Pts Foul > 1 Pts
39,Khalif Meares,,,,FTM,Free Throw,00:00:05.4,,,Rowan University,RU@IC,11/09/2024,1,,Khalif Meares,,0 Khalif Meares > Non Possession > Free Throw
40,Thomas Mckiernan,,,,"Turnover, Steal",Turnover,00:00:23.3,,,Ithaca College,RU@IC,11/09/2024,1,13:12,"Thomas Mckiernan, Taz Cantey",P&R BH,11 Thomas Mckiernan > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
41,Chris McCarron,,,,Foul,Non Shooting Foul,00:00:11.2,,,,RU@IC,11/09/2024,1,,Thomas Mckiernan,,3 Chris McCarron > Non Possession > Non Shooting Foul
42,Jamar Spivey,,,,Foul,Non Shooting Foul,00:00:14.2,,,,RU@IC,11/09/2024,1,,Cole Wissink,,30 Jamar Spivey > Non Possession > Non Shooting Foul
43,Jamar Spivey,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:13.4,,,Rowan University,RU@IC,11/09/2024,1,13:04,"Jamar Spivey, Laurence Brady",Cut,30 Jamar Spivey > Cut > Basket > Miss 2 Pts
44,Thomas Mckiernan,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.9,,,Ithaca College,RU@IC,11/09/2024,1,12:51,"Thomas Mckiernan, Jamar Spivey",Spot Up,11 Thomas Mckiernan > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
45,Chris McCarron,,,,3FGm,Miss 3 Pts,00:00:20.3,,,Rowan University,RU@IC,11/09/2024,1,12:28,Chris McCarron,"P&R BH, Spot Up",0 Khalif Meares > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Chris McCarron > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
46,Cole Wissink,,,,Turnover,Turnover,00:00:09.5,,,Ithaca College,RU@IC,11/09/2024,1,12:25,Cole Wissink,,0 Cole Wissink > No Play Type > Turnover
47,Khalif Meares,,,,3FGM,Make 3 Pts,00:00:15.5,,,Rowan University,RU@IC,11/09/2024,1,12:19,Khalif Meares,Handoff,0 Khalif Meares > Hand Off > From Stationary > Top > Dribble Jumper > Long/3pt > Make 3 Pts
