#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
22,Lucas Tovar,,,,"Turnover, Steal",Turnover,00:00:21.3,,,Bard College,Bar@SLC,11/08/2024,1,15:01,"Lucas Tovar, John Kairouz",Spot Up,12 Lucas Tovar > Spot-Up > Drives Left > Turnover
23,John Kairouz,,,,"Turnover, Steal",Turnover,00:00:11.4,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,14:55,"John Kairouz, Laz Panagiotounis",Transition,4 John Kairouz > Transition > Left Wing > Turnover
24,Laz Panagiotounis,,,,Foul,Foul,00:00:26.7,,,Bard College,Bar@SLC,11/08/2024,1,14:41,"John Kairouz, Laz Panagiotounis",Iso,15 Laz Panagiotounis > ISO > Top > Drives Right > To Basket > Foul
25,Laz Panagiotounis,,,,FTm,Free Throw,00:00:11.1,,,Bard College,Bar@SLC,11/08/2024,1,,Laz Panagiotounis,,15 Laz Panagiotounis > Non Possession > Free Throw
26,Laz Panagiotounis,,,,FTM,Free Throw,00:00:10.6,,,Bard College,Bar@SLC,11/08/2024,1,,Laz Panagiotounis,,15 Laz Panagiotounis > Non Possession > Free Throw
27,Eamon Kelly,,,,3FGm,Miss 3 Pts,00:00:15.7,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,14:25,Eamon Kelly,Spot Up,5 Eamon Kelly > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
28,Dean Furlong,,,,"Off Reb, Turnover",Turnover,00:00:13.5,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,14:25,Dean Furlong,Off Reb,13 Dean Furlong > Offensive Rebound > Short > Turnover
29,Lucas Tovar,,,,Foul,Non Shooting Foul,00:00:12.9,,,,Bar@SLC,11/08/2024,1,,Thomas Matonti,,12 Lucas Tovar > Non Possession > Non Shooting Foul
30,Laz Panagiotounis,,,,2FGM,Make 2 Pts,00:00:11.3,,,Bard College,Bar@SLC,11/08/2024,1,14:08,Laz Panagiotounis,Off Screen,15 Laz Panagiotounis > Off Screen > To Shooter's Left > Straight > To Basket > Make 2 Pts
31,Dean Furlong,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:10.6,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,14:04,"Sean Wilcox, Dean Furlong","P&R BH, P&R Roll Man",1 Lemar Fulmore > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Dean Furlong > P&R Roll Man > Slips the Pick > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
32,Laz Panagiotounis,,,,Foul,Foul,00:00:16.1,,,Bard College,Bar@SLC,11/08/2024,1,13:49,"Thomas Matonti, Laz Panagiotounis",Transition,15 Laz Panagiotounis > Transition > Ballhandler > To Basket > Foul
33,Laz Panagiotounis,,,,FTm,Free Throw,00:00:10.8,,,Bard College,Bar@SLC,11/08/2024,1,,Laz Panagiotounis,,15 Laz Panagiotounis > Non Possession > Free Throw
34,Laz Panagiotounis,,,,FTM,Free Throw,00:00:09.7,,,Bard College,Bar@SLC,11/08/2024,1,,Laz Panagiotounis,,15 Laz Panagiotounis > Non Possession > Free Throw
35,Eamon Kelly,,,,2FGM,Make 2 Pts,00:00:22.8,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,13:25,Eamon Kelly,"P&R BH, P&R Roll Man",2 Andrew Kim > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Eamon Kelly > P&R Roll Man > Pick and Pops > Drives Right > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
36,Sean Wilcox,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:12.3,,,Bard College,Bar@SLC,11/08/2024,1,13:08,"Sean Wilcox, Eamon Kelly",Spot Up,31 Sean Wilcox > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
37,Andrew Kim,,,,Turnover,Turnover,00:00:15.3,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,12:53,Andrew Kim,Handoff,2 Andrew Kim > Hand Off > From Dribble > Top > Turnover
38,Sean Wilcox,,,,"3FGM, Assist",Make 3 Pts,00:00:18.6,,,Bard College,Bar@SLC,11/08/2024,1,12:40,"Sean Wilcox, Laz Panagiotounis","P&R BH, Spot Up",15 Laz Panagiotounis > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 31 Sean Wilcox > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
39,John Kairouz,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.4,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,12:18,"John Kairouz, Lucas Tovar","P&R BH, P&R Roll Man",2 Andrew Kim > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 4 John Kairouz > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
40,Sean Wilcox,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:15.4,,,Bard College,Bar@SLC,11/08/2024,1,12:08,"Sean Wilcox, Andrew Kim",Transition,31 Sean Wilcox > Transition > Left Wing > To Basket > Miss 2 Pts
41,Sean Wilcox,,,,"2FGM, Off Reb",Make 2 Pts,00:00:06.8,,,Bard College,Bar@SLC,11/08/2024,1,12:08,Sean Wilcox,Off Reb,31 Sean Wilcox > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
