Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Home,Defense,CU,2pmi,To Basket,PNR,High,Off,Cuts,None,Basket
Home,Offense,CU,3pMa,No Dribble Jumper,Off Screens,Right,None,None,None,None
Home,Defense,CU,2pMa,Hook Shot,Post,Middle,Dribble Move,None,None,None
Home,Offense,CU,3pMa,No Dribble Jumper,PNR,Right,Off,Spot Ups,None,Shot
Home,Defense,CU,2pmi,Dribble Jumper,Hand Offs,Top,Dribble,None,None,None
Home,Offense,CU,Turnover,N/A,Spot Ups,Left,Drive,None,None,None
Home,Defense,CU,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Offense,CU,3pmi,No Dribble Jumper,Hand Offs,Left,Dribble,None,None,None
Home,Defense,CU,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,Foul,To Basket,Iso,Top,None,None,None,None
Home,Defense,CU,3pmi,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
Home,Defense,CU,2pmi,N/A,Post,Right,Dribble Move,None,None,None
Home,Offense,CU,3pmi,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
Home,Defense,CU,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,2pMa,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Defense,CU,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Offense,CU,3pmi,Dribble Jumper,Iso,Left,None,None,None,None
Home,Defense,CU,3pMa,No Dribble Jumper,Transition,None,Trailer,None,None,None
Home,Offense,CU,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Defense,CU,3pMa,Dribble Jumper,PNR,Left,Off,None,None,None
Home,Offense,CU,2pmi,To Basket,PNR,Left,Off,None,None,None
Home,Offense,CU,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,Foul,To Basket,Cuts,None,Basket,None,None,None
Home,Defense,CU,2pmi,Dribble Jumper,Hand Offs,Right,Dribble,None,None,None
Home,Offense,CU,2pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,CU,3pMa,No Dribble Jumper,Post,Left,Dribble Move,Spot Ups,None,Shot
Home,Offense,CU,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,CU,3pMa,Dribble Jumper,PNR,High,Off,Spot Ups,Straight,Drive
Home,Offense,CU,2pmi,Drop Step,Post,Right,Dribble Move,None,None,None
Home,Defense,CU,2pMa,To Basket,Spot Ups,Right,Drive,None,None,None
Home,Offense,CU,2pMa,Dribble Jumper,PNR,High,Off,None,None,None
Home,Defense,CU,Foul,To Basket,Misc,None,None,None,None,None
Home,Offense,CU,3pmi,No Dribble Jumper,Off Screens,Right,Straight,None,None,None
Home,Defense,CU,2pMa,To Basket,Post,Right,Dribble Move,Spot Ups,Left,Drive
Home,Offense,CU,3pmi,No Dribble Jumper,PNR,Right,Off,Spot Ups,None,Shot
Home,Offense,CU,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,CU,Turnover,N/A,Misc,None,None,None,None,None
Home,Offense,CU,Foul,To Basket,Cuts,None,Basket,None,None,None
Home,Defense,CU,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,2pmi,Dribble Jumper,Iso,Left,None,None,None,None
Home,Defense,CU,3pMa,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
Home,Offense,CU,2pmi,To Basket,Iso,Top,None,None,None,None
Home,Defense,CU,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,2pmi,N/A,Post,Right,Face Up,None,None,None
Home,Defense,CU,Turnover,N/A,Misc,None,None,None,None,None
Home,Offense,CU,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Defense,CU,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,CU,Foul,To Basket,Spot Ups,Right,Drive,None,None,None
Home,Offense,CU,3pmi,No Dribble Jumper,Iso,Right,None,Spot Ups,None,Shot
Home,Offense,CU,2pMa,N/A,Post,Right,Dribble Move,None,None,None
Home,Defense,CU,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,And1,To Basket,Iso,Top,None,None,None,None
Home,Defense,CU,2pmi,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Home,Offense,CU,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Home,Defense,CU,2pmi,To Basket,Transition,None,Left Wing,None,None,None
Home,Offense,CU,2pMa,To Basket,Iso,Top,None,None,None,None
Home,Defense,CU,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,3pmi,Dribble Jumper,PNR,Left,Off,None,None,None
Home,Defense,CU,Foul,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,CU,Foul,To Basket,Post,Left,Dribble Move,None,None,None
Home,Defense,CU,Foul,N/A,Misc,None,None,None,None,None
Home,Offense,CU,2pMa,To Basket,Transition,None,First Middle,None,None,None
