Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Offense,WEL,3pMa,Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Offense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,WEL,Turnover,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,WEL,3pMa,No Dribble Jumper,Transition,None,Trailer,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,2pmi,To Basket,Post,Middle,Dribble Move,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,2pmi,To Basket,Misc,None,None,None,None,None
Away,Defense,WEL,2pMa,Dribble Jumper,PNR,Right,Off,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,2pmi,To Basket,Iso,Right,None,None,None,None
Away,Defense,WEL,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,2pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Away,Offense,WEL,2pMa,To Basket,Transition,None,Right Wing,None,None,None
Away,Defense,WEL,2pmi,To Basket,Misc,None,None,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,And1,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,3pMa,Dribble Jumper,Transition,None,Right Wing,None,None,None
Away,Defense,WEL,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,2pmi,To Basket,Spot Ups,Straight,Drive,None,None,None
Away,Offense,WEL,Foul,To Basket,Misc,None,None,None,None,None
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,2pmi,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Iso,Right,None,Spot Ups,None,Shot
Away,Defense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,Turnover,To Basket,Transition,None,First Middle,None,None,None
Away,Defense,WEL,2pmi,No Dribble Jumper,Misc,None,None,None,None,None
Away,Offense,WEL,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,WEL,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,2pmi,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,And1,To Basket,Transition,None,First Middle,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,Hand Offs,Top,Dribble,None,None,None
Away,Defense,WEL,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,2pmi,To Basket,Transition,None,Right Wing,None,None,None
Away,Defense,WEL,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,WEL,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,WEL,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,WEL,2pmi,To Basket,Transition,None,Right Wing,None,None,None
Away,Defense,WEL,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,2pMa,To Basket,Iso,Top,None,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,2pMa,To Basket,PNR,Left,Off,None,None,None
Away,Defense,WEL,3pmi,Dribble Jumper,PNR,High,Off,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,PNR,High,Away,P&R Roll Man,None,Pop
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,2pMa,Dribble Jumper,PNR,Left,Away,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,Turnover,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,2pmi,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,2pmi,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
