Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Offense,SJC,2pMa,To Basket,PNR,High,Off,None,None,None
Away,Defense,SJC,2pMa,To Basket,PNR,Right,Off,P&R Roll Man,None,Roll
Away,Offense,SJC,3pMa,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Away,Defense,SJC,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,SJC,Foul,N/A,Misc,None,None,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,SJC,2pmi,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,Left Wing,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pmi,To Basket,Off Screens,Left,Straight,None,None,None
Away,Offense,SJC,2pMa,To Basket,Cuts,None,Screen,None,None,None
Away,Defense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,Turnover,N/A,Misc,None,None,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,2pMa,To Basket,PNR,High,Off,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Transition,None,Right Wing,None,None,None
Away,Defense,SJC,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,SJC,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Away,Defense,SJC,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,SJC,Turnover,N/A,PNR,High,Away,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,Right Wing,None,None,None
Away,Offense,SJC,Foul,To Basket,Spot Ups,Left,Drive,None,None,None
Away,Defense,SJC,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,SJC,2pmi,Dribble Jumper,Transition,None,Ball Handler,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,First Middle,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,3pMa,No Dribble Jumper,Post,Middle,Dribble Move,Spot Ups,None,Shot
Away,Offense,SJC,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SJC,2pmi,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Defense,SJC,Foul,To Basket,PNR,Left,Off,Cuts,None,Basket
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,Turnover,N/A,Misc,None,None,None,None,None
