#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
222,Logan Wendell,,,,Foul,Foul,00:00:23.5,,,Ithaca College,VC@IC,12/06/2024,2,5:17,"Luke Adams, Logan Wendell","P&R BH, Spot Up",,2 Jaylon O'Neal > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Logan Wendell > Spot-Up > Drives Right > Foul
223,Logan Wendell,,,,FTM,Free Throw,00:00:04.7,,,Ithaca College,VC@IC,12/06/2024,2,,Logan Wendell,,,1 Logan Wendell > Non Possession > Free Throw
224,Logan Wendell,,,,FTM,Free Throw,00:00:04.5,,,Ithaca College,VC@IC,12/06/2024,2,,Logan Wendell,,,1 Logan Wendell > Non Possession > Free Throw
225,Avery Lee,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.5,,,Vassar Brewers,VC@IC,12/06/2024,2,5:03,"Avery Lee, Logan Wendell",Cut,,2 Avery Lee > Cut > Flash > Miss 2 Pts
226,Evan Cabral,,,,3FGm,Miss 3 Pts,00:00:20.3,,,Ithaca College,VC@IC,12/06/2024,2,4:36,Evan Cabral,Spot Up,,15 Evan Cabral > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
227,Avery Lee,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:18.0,,,Vassar Brewers,VC@IC,12/06/2024,2,4:26,"Avery Lee, Evan Cabral",Spot Up,,2 Avery Lee > Spot-Up > Drives Left > To Basket > Miss 2 Pts
228,Laurence Brady,,,,Foul,Foul,00:00:12.6,,,Ithaca College,VC@IC,12/06/2024,2,4:06,"Alex Walters, Laurence Brady",Handoff,,12 Laurence Brady > Hand Off > From Dribble > Left > Foul
229,Laurence Brady,,,,FTM,Free Throw,00:00:04.7,,,Ithaca College,VC@IC,12/06/2024,2,,Laurence Brady,,,12 Laurence Brady > Non Possession > Free Throw
230,Laurence Brady,,,,"FTm, Def Reb",Free Throw,00:00:05.1,,,Ithaca College,VC@IC,12/06/2024,2,,"Laurence Brady, Alex Walters",,,12 Laurence Brady > Non Possession > Free Throw
231,Avery Lee,,,,"Turnover, Steal",Turnover,00:00:24.2,,,Vassar Brewers,VC@IC,12/06/2024,2,3:50,"Avery Lee, Jaylon O'Neal",Spot Up,,2 Avery Lee > Spot-Up > Drives Straight > Turnover
232,Logan Wendell,,,,2FGM,Make 2 Pts,00:00:24.7,,,Ithaca College,VC@IC,12/06/2024,2,3:27,Logan Wendell,P&R BH,,1 Logan Wendell > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Make 2 Pts
233,Shea Fitzgerald,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:19.6,,,Vassar Brewers,VC@IC,12/06/2024,2,3:04,"Shea Fitzgerald, Evan Cabral",Spot Up,,3 Shea Fitzgerald > Spot-Up > Drives Right > To Basket > Miss 2 Pts
234,Logan Wendell,,,,"2FGM, Assist",Make 2 Pts,00:00:09.2,,,Ithaca College,VC@IC,12/06/2024,2,2:59,"Logan Wendell, Evan Cabral",Transition,,1 Logan Wendell > Transition > Leak Outs > To Basket > Make 2 Pts
235,Eric Zhang,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.6,,,Vassar Brewers,VC@IC,12/06/2024,2,2:45,"Eric Zhang, Chris Leysath",Handoff,,13 Eric Zhang > Hand Off > From Dribble > Left > To Basket > Miss 2 Pts
236,Max Nierenberg,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.0,,,Ithaca College,VC@IC,12/06/2024,2,2:32,"Max Nierenberg, Sebastian Medina",Transition,,4 Max Nierenberg > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
237,Collin France,,,,Turnover,Turnover,00:00:11.1,,,Vassar Brewers,VC@IC,12/06/2024,2,2:28,Collin France,Transition,,14 Collin France > Transition > Left Wing > Turnover
238,Chris Leysath,,,,Turnover,Turnover,00:00:17.3,,,Ithaca College,VC@IC,12/06/2024,2,2:15,Chris Leysath,Post Up,,30 Chris Leysath > Post-Up > Left Block > Defense Commits > Turnover
239,Will Gregory,,,,3FGm,Miss 3 Pts,00:00:10.9,,,Vassar Brewers,VC@IC,12/06/2024,2,2:06,Will Gregory,Spot Up,,20 Will Gregory > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
240,Sacha Greenberg,,,,Turnover,Turnover,00:00:10.4,,,Vassar Brewers,VC@IC,12/06/2024,2,1:49,Sacha Greenberg,,,11 Sacha Greenberg > No Play Type > Turnover
241,Michael Porter,,,,Turnover,Turnover,00:00:13.0,,,Ithaca College,VC@IC,12/06/2024,2,1:35,Michael Porter,P&R BH,,20 Michael Porter > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
