#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
39,Dylan Matchett,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:24.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,12:29,"Dylan Matchett, Alexei Downie",P&R BH,,32 Dylan Matchett > P&R Ball Handler > Right P&R > Side > Go Away from Pick > To Basket > Miss 2 Pts
40,Ethan Madeiros,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:25.1,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,12:09,"Ethan Madeiros, Dylan Matchett, PJ Scalisi","Iso, Cut",,3 Nick Padilla > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 25 Ethan Madeiros > Cut > Basket > Miss 2 Pts
41,Yechiel Stewart,,,,"2FGM, Foul, Assist",0 Pts,00:00:12.1,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,12:04,"Yechiel Stewart, PJ Scalisi, Fumani Sithole",Transition,,22 Yechiel Stewart > Transition > Leak Outs > To Basket > Make 2 Pts Foul > 0 Pts
42,Yechiel Stewart,,,,"FTm, Def Reb",Free Throw,00:00:12.3,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,"Yechiel Stewart, Ethan Madeiros",,,22 Yechiel Stewart > Non Possession > Free Throw
43,Charlie Fantom,,,,Turnover,Turnover,00:00:17.8,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,11:46,Charlie Fantom,,,5 Charlie Fantom > No Play Type > Turnover
44,PJ Scalisi,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:18.6,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,11:35,"PJ Scalisi, Alexei Downie",Spot Up,,23 PJ Scalisi > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
45,Alexei Downie,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:27.7,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,11:14,"Alexei Downie, Dylan Matchett","P&R BH, Spot Up",,3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 4 Alexei Downie > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
46,Yechiel Stewart,,,,3FGm,Miss 3 Pts,00:00:23.7,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,10:57,Yechiel Stewart,Off Screen,,22 Yechiel Stewart > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
47,Tucker Tharpe,,,,Off Reb,Run Offense,00:00:06.7,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Tucker Tharpe,Off Reb,,35 Tucker Tharpe > Offensive Rebound > Long > Run Offense
48,PJ Scalisi,,,,Foul,Non Shooting Foul,00:00:11.5,,,,SKD@RPI,01/10/2025,1,,Charlie Fantom,,,23 PJ Scalisi > Non Possession > Non Shooting Foul
49,Dylan Matchett,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:16.7,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,10:39,"Dylan Matchett, Jack LaGarde",Post Up,,32 Dylan Matchett > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
50,Nick Padilla,,,,2FGM,Make 2 Pts,00:00:15.8,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,10:27,Nick Padilla,P&R BH,,3 Nick Padilla > P&R Ball Handler > High P&R > Go Away from Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
51,Dylan Matchett,,,,,No Violation,00:00:06.7,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Dylan Matchett,,,32 Dylan Matchett > Non Possession > No Violation
52,PJ Scalisi,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:23.6,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,9:58,"PJ Scalisi, Ethan Madeiros",P&R BH,,23 PJ Scalisi > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
53,Pat White,,,,Foul,Foul,00:00:07.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,9:55,"Ethan Madeiros, Pat White",Off Screen,,33 Pat White > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Foul
54,Pat White,,,,FTm,Free Throw,00:00:12.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Pat White,,,33 Pat White > Non Possession > Free Throw
55,Pat White,,,,FTm,Free Throw,00:00:12.7,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Pat White,,,33 Pat White > Non Possession > Free Throw
56,Pat White,,,,FTM,Free Throw,00:00:11.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Pat White,,,33 Pat White > Non Possession > Free Throw
57,Hakeem Daphnis,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.1,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,9:44,"Hakeem Daphnis, Dylan Matchett","Iso, Spot Up",,3 Nick Padilla > ISO > Top > Defense Commits > Ball Delivered > 23 Hakeem Daphnis > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
58,Dylan Matchett,,,,Foul,Foul,00:00:06.9,,,,SKD@RPI,01/10/2025,1,9:42,Jack LaGarde,,,32 Dylan Matchett > No Play Type > Foul
59,Dylan Matchett,,,,FTM,Free Throw,00:00:09.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Dylan Matchett,,,32 Dylan Matchett > Non Possession > Free Throw
60,Dylan Matchett,,,,FTM,Free Throw,00:00:10.4,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Dylan Matchett,,,32 Dylan Matchett > Non Possession > Free Throw
61,Hakeem Daphnis,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:27.7,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,9:13,"Hakeem Daphnis, Pat White","Iso, Spot Up",,3 Nick Padilla > ISO > Top > Drives Right > Defense Commits > Ball Delivered > 23 Hakeem Daphnis > Spot-Up > Drives Right > To Basket > Miss 2 Pts
62,Dylan Matchett,,,,"3FGM, Assist",Make 3 Pts,00:00:32.7,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,8:49,"Dylan Matchett, Yechiel Stewart",Spot Up,,32 Dylan Matchett > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
63,Alexei Downie,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:14.1,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,8:32,"Alexei Downie, Dylan Matchett","P&R BH, Spot Up",,3 Nick Padilla > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 4 Alexei Downie > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts
64,Dylan Matchett,,,,Turnover,Turnover,00:00:14.6,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,8:19,Dylan Matchett,Transition,,32 Dylan Matchett > Transition > Ballhandler > Turnover
65,Aidan Roy,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.0,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,7:56,"Aidan Roy, Tucker Tharpe",Iso,,15 Aidan Roy > ISO > Right > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
66,Tucker Tharpe,,,,"2FGM, Assist",Make 2 Pts,00:00:27.2,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,7:34,"Tucker Tharpe, Dylan Matchett","P&R BH, P&R Roll Man",,32 Dylan Matchett > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 35 Tucker Tharpe > P&R Roll Man > Rolls to Basket > Make 2 Pts
67,Alexei Downie,,,,"Turnover, Steal",Turnover,00:00:13.0,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,7:18,"Alexei Downie, PJ Scalisi",P&R BH,,4 Alexei Downie > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Turnover
68,Yechiel Stewart,,,,2FGM,Make 2 Pts,00:00:13.6,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,7:10,Yechiel Stewart,Post Up,,22 Yechiel Stewart > Post-Up > Left Block > Left Shoulder > Dribble Move > To Up and Under > Make 2 Pts
69,Aidan Roy,,,,,No Violation,00:00:13.7,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,,Aidan Roy,,,15 Aidan Roy > Non Possession > No Violation
70,Charlie Fantom,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.4,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,6:56,"Charlie Fantom, Dylan Matchett",Off Screen,,5 Charlie Fantom > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
71,Yechiel Stewart,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:28.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,6:34,"Yechiel Stewart, Aidan Roy",P&R BH,,22 Yechiel Stewart > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
