#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
212,Shea Fitzgerald,,,,Foul,Foul,00:00:07.5,,,,VC@SCD,01/04/2025,2,1:54,Kendrick Wilson,,,3 Shea Fitzgerald > No Play Type > Foul
213,Shea Fitzgerald,,,,FTM,Free Throw,00:00:05.9,,,Vassar Brewers,VC@SCD,01/04/2025,2,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
214,Shea Fitzgerald,,,,FTM,Free Throw,00:00:05.7,,,Vassar Brewers,VC@SCD,01/04/2025,2,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
215,Kendall Arcuri,,,,"3FGm, Def Reb, Block, Blocked Attempt",Miss 3 Pts,00:00:14.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,2,1:49,"Kendall Arcuri, Sebastian Medina, Nathan Denham",Handoff,,40 Kendall Arcuri > Hand Off > From Dribble > Top > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
216,Shea Fitzgerald,,,,Foul,Foul,00:00:13.1,,,Vassar Brewers,VC@SCD,01/04/2025,2,1:42,"Joel Davis, Shea Fitzgerald",Transition,,3 Shea Fitzgerald > Transition > Ballhandler > Foul
217,Shea Fitzgerald,,,,FTM,Free Throw,00:00:05.6,,,Vassar Brewers,VC@SCD,01/04/2025,2,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
218,Shea Fitzgerald,,,,FTM,Free Throw,00:00:05.9,,,Vassar Brewers,VC@SCD,01/04/2025,2,,Shea Fitzgerald,,,3 Shea Fitzgerald > Non Possession > Free Throw
219,Jaylen Warmack,,,,Foul,Foul,00:00:17.1,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,2,1:32,"Kreekor Karageuzian, Jaylen Warmack",Iso,,2 Jaylen Warmack > ISO > Top > Drives Left > Foul
220,Jaylen Warmack,,,,FTM,Free Throw,00:00:05.9,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,2,,Jaylen Warmack,,,2 Jaylen Warmack > Non Possession > Free Throw
221,Jaylen Warmack,,,,FTM,Free Throw,00:00:06.5,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,2,,Jaylen Warmack,,,2 Jaylen Warmack > Non Possession > Free Throw
222,Collin France,,,,"Turnover, Steal",Turnover,00:00:24.6,,,Vassar Brewers,VC@SCD,01/04/2025,2,1:13,"Collin France, Gavyn Pacheco",P&R BH,,14 Collin France > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Turnover
223,Gavyn Pacheco,,,,2FGM,Make 2 Pts,00:00:09.7,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,2,1:09,Gavyn Pacheco,Transition,,12 Gavyn Pacheco > Transition > Ballhandler > To Basket > Make 2 Pts
224,Sacha Greenberg,,,,2FGM,Make 2 Pts,00:00:11.5,,,Vassar Brewers,VC@SCD,01/04/2025,2,1:02,Sacha Greenberg,Transition,,11 Sacha Greenberg > Transition > Left Wing > Dribble Jumper > Short to < 17' > Make 2 Pts
225,Chris Mcdonald,,,,"2FGM, Assist",Make 2 Pts,00:00:14.3,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,2,0:44,"Chris Mcdonald, Gavyn Pacheco","P&R BH, Cut",,12 Gavyn Pacheco > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Chris Mcdonald > Cut > Basket > Make 2 Pts
226,Sacha Greenberg,,,,"2FGM, Assist",Make 2 Pts,00:00:09.0,,,Vassar Brewers,VC@SCD,01/04/2025,2,0:38,"Sacha Greenberg, JP Miranda",Transition,,11 Sacha Greenberg > Transition > Leak Outs > To Basket > Make 2 Pts
227,Federico Chiappa,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.0,,,SUNY Cortland Dragons,VC@SCD,01/04/2025,2,0:25,"Federico Chiappa, Sacha Greenberg",P&R BH,,11 Federico Chiappa > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
228,JP Miranda,,,,,No Violation,00:00:32.1,,,Vassar Brewers,VC@SCD,01/04/2025,2,,JP Miranda,,,0 JP Miranda > Non Possession > No Violation
