#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
20,Laz Panagiotounis,,,,"Iso, 2FGM",Make 2 Pts,00:00:23.5,,,Bard College,Bar@RIT,02/17/2024,1,16:29,Laz Panagiotounis,15 Laz Panagiotounis > ISO > Top > Drives Right > To Basket > Make 2 Pts,
21,Matt Caggiano,,,,"P&R BH, 3FGm, Def Reb",Miss 3 Pts,00:00:12.2,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,16:15,"Laz Panagiotounis, Matt Caggiano",5 Matt Caggiano > P&R Ball Handler > High P&R > Takes Early Jump Shot > Dribble Jumper > Long/3pt > Miss 3 Pts,
22,Laz Panagiotounis,,,,"Transition, 3FGm",Miss 3 Pts,00:00:15.7,,,Bard College,Bar@RIT,02/17/2024,1,16:07,Laz Panagiotounis,15 Laz Panagiotounis > Transition > Ballhandler > Dribble Jumper > Long/3pt > Miss 3 Pts,
23,Sean Wilcox,,,,"Off Reb, Off Reb",Run Offense,00:00:07.4,,,Bard College,Bar@RIT,02/17/2024,1,,Sean Wilcox,31 Sean Wilcox > Offensive Rebound > Short > Run Offense,
24,Elliot Harris,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:11.5,,,Bard College,Bar@RIT,02/17/2024,1,16:03,"Elliot Harris, Ronnie Toole",33 Elliot Harris > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
25,Matt Caggiano,,,,,No Violation,00:00:16.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Matt Caggiano,5 Matt Caggiano > Non Possession > No Violation,
26,Ronnie Toole,,,,"P&R BH, Foul",Foul,00:00:16.3,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,15:55,"Sean Wilcox, Ronnie Toole",15 Ronnie Toole > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > To Basket > Foul,
27,Ronnie Toole,,,,FTM,Free Throw,00:00:08.0,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Ronnie Toole,15 Ronnie Toole > Non Possession > Free Throw,
28,Ronnie Toole,,,,FTM,Free Throw,00:00:07.2,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Ronnie Toole,15 Ronnie Toole > Non Possession > Free Throw,
29,Azriel Almodovar,,,,2FGm,Miss 2 Pts,00:00:29.7,,,Bard College,Bar@RIT,02/17/2024,1,15:21,Azriel Almodovar,4 Azriel Almodovar > No Play Type > Dribble Jumper > Short to < 17' > Miss 2 Pts,
30,Azriel Almodovar,,,,"Off Reb, 2FGm, Off Reb",Miss 2 Pts,00:00:15.2,,,Bard College,Bar@RIT,02/17/2024,1,15:18,Azriel Almodovar,4 Azriel Almodovar > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
31,Mark Osime,,,,"P&R BH, 2FGm",Miss 2 Pts,00:00:21.3,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,14:57,Mark Osime,23 Mark Osime > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,
32,Josiah Turner,,,,"Off Reb, 2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:09.5,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,14:52,"Josiah Turner, Sean Wilcox",33 Josiah Turner > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
33,Heston Tucker,,,,"Transition, 2FGM, Foul, Assist",1 Pts,00:00:13.6,,,Bard College,Bar@RIT,02/17/2024,1,14:46,"Heston Tucker, Sean Wilcox, Ronnie Toole",11 Heston Tucker > Transition > Leak Outs > To Basket > Make 2 Pts Foul > 1 Pts,
34,Heston Tucker,,,,FTM,Free Throw,00:00:09.7,,,Bard College,Bar@RIT,02/17/2024,1,,Heston Tucker,11 Heston Tucker > Non Possession > Free Throw,
35,Matt Caggiano,,,,"Off Screen, 2FGm, Def Reb",Miss 2 Pts,00:00:10.5,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,14:40,"Matt Caggiano, Azriel Almodovar",5 Matt Caggiano > Off Screen > To Shooter's Right > Flare > Dribble Jumper > Short to < 17' > Miss 2 Pts,
36,Azriel Almodovar,,,,"Transition, 2FGM",Make 2 Pts,00:00:16.8,,,Bard College,Bar@RIT,02/17/2024,1,14:34,Azriel Almodovar,4 Azriel Almodovar > Transition > Ballhandler > To Basket > Make 2 Pts,
37,Brock Bowen,,,,"Handoff, 3FGM, Assist",Make 3 Pts,00:00:12.4,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,14:21,"Brock Bowen, Matt Caggiano",10 Brock Bowen > Hand Off > From Dribble > Left > Dribble Jumper > Long/3pt > Make 3 Pts,
38,Sean Wilcox,,,,"Turnover, Steal",Turnover,00:00:12.8,,,Bard College,Bar@RIT,02/17/2024,1,14:03,"Matt Caggiano, Sean Wilcox",31 Sean Wilcox > No Play Type > Turnover,
39,Matt Caggiano,,,,Foul,Non Shooting Foul,00:00:12.9,,,,Bar@RIT,02/17/2024,1,,Sean Wilcox,5 Matt Caggiano > Non Possession > Non Shooting Foul,
40,Chase Dickens,,,,"Off Screen, 2FGM, Assist",Make 2 Pts,00:00:11.0,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,13:56,"Josiah Turner, Chase Dickens",11 Chase Dickens > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Short to < 17' > Make 2 Pts,
41,Heston Tucker,,,,Foul,Non Shooting Foul,00:00:23.8,,,,Bar@RIT,02/17/2024,1,,Jackson Otis,11 Heston Tucker > Non Possession > Non Shooting Foul,
42,Azriel Almodovar,,,,"Handoff, Turnover",Turnover,00:00:11.5,,,Bard College,Bar@RIT,02/17/2024,1,13:34,Azriel Almodovar,4 Azriel Almodovar > Hand Off > From Stationary > Right > Turnover,
